,link,title,city,price,bouwjaar,kamers,woonlagen,woonen_m2,perceel_m2,makelaars,makelaars_phone
325,https://www.funda.nl/koop/enschede/huis-41959694-bouwkavel-de-bult-bouwnr-1/,"Bouwkavel ""De Bult"" (Bouwnr. 1) 7532 XL Enschede ",enschede,125000 von,2021,1 kamer,1 woonlaag,160.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
221,https://www.funda.nl/koop/enschede/huis-41916283-bosbeekjuffer-1/,Bosbeekjuffer 1 7532 TA Enschede ,enschede,439000 von,2021,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,169.0,553 (deelperceel),Makelaardij Meerman,053 - 428 24 44
258,https://www.funda.nl/koop/enschede/huis-41916271-bosbeekjuffer-17-a/,Bosbeekjuffer 17 A 7532 TA Enschede ,enschede,457000 von,2021,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,169.0,686 (deelperceel),Makelaardij Meerman,053 - 428 24 44
178,https://www.funda.nl/koop/enschede/huis-41999170-niermansgang-5/,Niermansgang 5 7514 DM Enschede ,enschede,495000 von,2020,3 kamers (2 slaapkamers),1 woonlaag,186.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
234,https://www.funda.nl/koop/enschede/huis-41606384-bouwnummer-bouwnr-9/,Bouwnummer (Bouwnr. 9) 7513 EV Enschede ,enschede,419500 von,2020,4 kamers (2 slaapkamers),2 woonlagen en een zolder,156.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
116,https://www.funda.nl/koop/enschede/huis-41569443-ooster-es-bouwnr-17/,Ooster Es (Bouwnr. 17) 7514 XS Enschede ,enschede,470000 von,2020,5 kamers (3 slaapkamers),2 woonlagen en een zolder,159.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
124,https://www.funda.nl/koop/enschede/huis-41891502-spinner-b2-bouwnr-1/,"Spinner, B2 (Bouwnr. 1) 7523 EX Enschede ",enschede,407500 von,2020,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,157.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
146,https://www.funda.nl/koop/enschede/huis-41606399-bouwnummer-bouwnr-14/,Bouwnummer (Bouwnr. 14) 7513 EV Enschede ,enschede,359500 von,2020,6 kamers (4 slaapkamers),2 woonlagen en een zolder,135.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
72,https://www.funda.nl/koop/enschede/huis-41569442-ooster-es-bouwnr-8/,Ooster Es (Bouwnr. 8) 7514 XS Enschede ,enschede,405000 von,2020,5 kamers (3 slaapkamers),2 woonlagen en een zolder,142.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
187,https://www.funda.nl/koop/enschede/huis-41891520-spoeler-c2-bouwnr-23/,"Spoeler, C2 (Bouwnr. 23) 7523 JP Enschede ",enschede,457500 von,2020,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,157.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
195,https://www.funda.nl/koop/enschede/huis-41436784-operahof-ruime-stadswoningen-bouwnr-35/,Operahof - ruime stadswoningen (Bouwnr. 35) 7512 DP Enschede ,enschede,387273 von,2020,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,134.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
211,https://www.funda.nl/koop/enschede/huis-41802502-2-moderne-herenhuizen-bouwnr-2/,2 Moderne Herenhuizen (Bouwnr. 2) 7522 CG Enschede ,enschede,439500 von,2020,1 kamer,1 woonlaag,147.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
214,https://www.funda.nl/koop/enschede/huis-41569447-ooster-es-bouwnr-28/,Ooster Es (Bouwnr. 28) 7514 XS Enschede ,enschede,379500 von,2020,5 kamers (3 slaapkamers),2 woonlagen en een zolder,136.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
219,https://www.funda.nl/koop/enschede/huis-41569438-ooster-es-bouwnr-4/,Ooster Es (Bouwnr. 4) 7514 XS Enschede ,enschede,410000 von,2020,1 kamer,1 woonlaag,158.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
91,https://www.funda.nl/koop/enschede/huis-41825316-twee-onder-eenkapwoning-bouwnr-3/,Twee-onder-éénkapwoning (Bouwnr. 3) 7512 EM Enschede ,enschede,358000 von,2020,1 kamer,1 woonlaag,135.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
229,https://www.funda.nl/koop/enschede/huis-41891538-wever-a2-bouwnr-27/,"Wever, A2 (Bouwnr. 27) 7523 JP Enschede ",enschede,450000 von,2020,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,154.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
254,https://www.funda.nl/koop/enschede/huis-41606388-bouwnummer-bouwnr-8/,Bouwnummer (Bouwnr. 8) 7513 EV Enschede ,enschede,419500 von,2020,6 kamers (4 slaapkamers),2 woonlagen en een zolder,162.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
289,https://www.funda.nl/koop/enschede/huis-41569451-ooster-es-bouwnr-29/,Ooster Es (Bouwnr. 29) 7514 XS Enschede ,enschede,385000 von,2020,5 kamers (3 slaapkamers),2 woonlagen en een zolder,142.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
10,https://www.funda.nl/koop/enschede/huis-41774606-tweede-bothofdwarsstraat-14/,Tweede Bothofdwarsstraat 14 7511 ZM Enschede ,enschede,375000 von,2020,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,157.0,,Vera Welker Makelaars,(+31) 53 760 11 11
326,https://www.funda.nl/koop/enschede/huis-41993567-oosterstraat-4/,Oosterstraat 4 7514 DZ Enschede ,enschede,377500 von,2020,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,136.0,217,Esther van Benthem makelaar o.g.,053-4342500
260,https://www.funda.nl/koop/enschede/huis-41774627-tweede-bothofdwarsstraat-16/,Tweede Bothofdwarsstraat 16 7511 ZM Enschede ,enschede,325000 von,2020,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,143.0,,Vera Welker Makelaars,(+31) 53 760 11 11
103,https://www.funda.nl/koop/enschede/huis-41436780-operahof-2-1-woningen-bouwnr-16/,Operahof - 2/1 woningen (Bouwnr. 16) 7512 DP Enschede ,enschede,392440 von,2020,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,140.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
266,https://www.funda.nl/koop/enschede/huis-41606371-bouwnummer-bouwnr-1/,Bouwnummer (Bouwnr. 1) 7513 EV Enschede ,enschede,395500 von,2020,5 kamers (3 slaapkamers),2 woonlagen en een zolder,134.0,,Nieuw Wonen Twente,(+31) 85 273 23 77
27,https://www.funda.nl/koop/enschede/huis-41831406-wethouder-beversstraat-136/,Wethouder Beversstraat 136 7543 BN Enschede ,enschede,325000,2018,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,130.0,137,Keuter Makelaars,053-20 30 123
22,https://www.funda.nl/koop/enschede/huis-41831898-kotkampplein-8/,Kotkampplein 8 7531 JN Enschede ,enschede,410000,2017,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,156.0,150,Prisma Makelaars Enschede B.V.,053-8200888
