,link,address,price,slaapkamers,kamers,woonoppervlakte,oplevering,first_seen,last_seen,type_woning
0,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-van-der-marckstraat-31-1888,"Van der Marckhof 31, Utrecht","€1,315",4.0,,130.0,01-12-2019,2019-09-22 00:27,2019-09-22 00:39,Eengezinswoning Tussenwoning
1,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-jongeneelstraat-32-1885,Utrecht Jongeneelstraat 32,"€1,965",3.0,,133.0,,2019-09-22 00:27,2019-09-22 00:39,Appartement 
2,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-laan-van-nieuw-guinea-91-bis-1862,"Laan van Nieuw Guinea 91 BIS, Utrecht",€950,3.0,,,Direct,2019-09-22 00:27,2019-09-22 00:39,Bovenwoning 4 kamer woning
3,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-rolderdiephof-122-1854,Utrecht Rolderdiephof 122,"€1,565",3.0,,117.0,,2019-09-22 00:27,2019-09-22 00:39,Massionette 
4,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-john-coltranestraat-132-1851,"John Coltranestraat 132, Utrecht","€1,410",3.0,,162.0,,2019-09-22 00:27,2019-09-22 00:39,Appartement 4 kamer appartement
5,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-purpervlinderstraat-7-1850,Purpervlinderstraat 7 ,"€1,176",4.0,,130.0,,2019-09-22 00:27,2019-09-22 00:39,Eengezinswoning 6 kamer woning
6,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-appaloosastraat-5-1791,Utrecht Appaloosastraat 5,"€1,410",4.0,,126.0,01-09-2019,2019-09-22 00:27,2019-09-22 00:39,Tussenwoning 
7,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-rolderdiephof-76-1788,Utrecht Rolderdiephof  76,"€1,685",2.0,,120.0,15/10/2019,2019-09-22 00:27,2019-09-22 00:39,Appartement 
8,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-musicallaan-175-1637,"Musicallaan 175, Utrecht","€1,070",2.0,,135.0,01-11-2019,2019-09-22 00:27,2019-09-22 00:39,Appartement 
9,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-hollandse-toren-52-1636,Utrecht Hollandse Toren 52,"€1,807",3.0,,146.0,Per direct,2019-09-22 00:27,2019-09-22 00:39, Appartement
10,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-melissekade-273-1326,Melissekade 273 te Utrecht,"€1,137",3.0,,180.0,01-03-2019,2019-09-22 00:27,2019-09-22 00:39,Maisonnette 
11,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-houtrakgracht-326-1186,"Houtrakgracht 326, Utrecht",€995,2.0,3.0,105.0,01-11-2019,2019-09-22 00:27,2019-09-22 00:39,appartement 
12,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-hogeweide-394-321,"Hogeweide 394, Utrecht","€1,055",3.0,4.0,130.0,,2019-09-22 00:27,2019-09-22 00:39,Appartement 
13,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-bladvlinder-20-313,"Bladvlinder 20, Utrecht","€1,321",,6.0,,,2019-09-22 00:27,2019-09-22 00:39,eengezinswoning 
14,https://www.rebohuurwoning.nl/nl/aanbod/utrecht-wapendragervlinder-35-364,"Wapendragervlinder 35, Utrecht","€1,295",,6.0,,,2019-09-22 00:27,2019-09-22 00:39,Eengezinswoning 
